COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"ALGERIA","ALG","0","6","0","0","6","0","0","0","0","6"
"ALL","ALL","195","7236","2251","13241","22923","3625","3983","17830","25438","48361"
"ARAB SATELLITE COMMUNICATIONS ORGANIZATION","AB","0","14","0","0","14","1","0","0","1","15"
"ARGENTINA","ARGN","0","35","0","1","36","2","0","0","2","38"
"ASIASAT CORP","AC","0","8","0","0","8","0","0","0","0","8"
"AUSTRALIA","AUS","0","25","2","0","27","5","0","0","5","32"
"AUSTRIA","ASRA","0","3","0","0","3","0","0","0","0","3"
"AZERBAIJAN","AZER","0","3","0","0","3","0","0","0","0","3"
"BELARUS","BELA","0","2","0","0","2","0","0","0","0","2"
"BELGIUM","BEL","0","6","0","0","6","0","0","0","0","6"
"BERMUDA","BERM","0","1","0","0","1","0","0","0","0","1"
"BOLIVIA","BOL","0","1","0","0","1","0","0","0","0","1"
"BRAZIL","BRAZ","0","18","0","0","18","3","0","0","3","21"
"CANADA","CA","0","71","0","5","76","2","0","2","4","80"
"CHILE","CHLE","0","3","0","0","3","0","0","0","0","3"
"COLOMBIA","COL","0","2","0","0","2","0","0","0","0","2"
"COMMONWEALTH OF INDEPENDENT STATES","CIS","3","1550","1047","4658","7258","2066","2880","10421","15367","22625"
"CZECHOSLOVAKIA","CZCH","0","6","0","0","6","2","0","0","2","8"
"Democratic Socialist Republic of Sri Lanka","LKA","0","1","0","0","1","0","0","0","0","1"
"DENMARK","DEN","0","10","0","0","10","3","0","0","3","13"
"ECUADOR","ECU","0","2","0","0","2","0","0","0","0","2"
"EGYPT","EGYP","0","9","0","0","9","0","0","0","0","9"
"ESTONIA","EST","0","2","0","0","2","0","0","0","0","2"
"EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES","EUME","0","9","0","8","17","0","0","0","0","17"
"EUROPEAN SPACE AGENCY","ESA","0","93","7","52","152","12","7","22","41","193"
"EUROPEAN SPACE RESEARCH ORGANIZATION","ESRO","0","0","0","0","0","7","0","3","10","10"
"EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT)","EUTE","0","56","0","0","56","0","0","0","0","56"
"Federal Democratic Republic of Nepal","NPL","0","1","0","0","1","0","0","0","0","1"
"FINLAND","FIN","0","11","0","0","11","1","0","0","1","12"
"FRANCE","FR","0","74","162","351","587","10","81","659","750","1337"
"FRANCE/GERMANY","FGER","0","2","0","0","2","0","0","0","0","2"
"FRANCE/ITALY","FRIT","0","2","0","0","2","0","0","0","0","2"
"GERMANY","GER","0","73","0","1","74","17","0","1","18","92"
"GLOBALSTAR","GLOB","0","84","0","1","85","0","0","1","1","86"
"GREECE","GREC","0","3","0","0","3","2","0","0","2","5"
"Hashemite Kingdom of Jordan","JOR","0","1","0","0","1","0","0","0","0","1"
"HUNGARY","HUN","0","0","0","0","0","3","0","0","3","3"
"INDIA","IND","0","102","39","77","218","13","25","445","483","701"
"INDONESIA","INDO","0","17","0","0","17","2","0","0","2","19"
"INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT)","IM","0","18","0","0","18","0","0","0","0","18"
"INTERNATIONAL SPACE STATION","ISS","0","5","0","3","8","1","0","96","97","105"
"INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION (INTELSAT)","ITSO","0","91","0","1","92","1","0","0","1","93"
"IRAN","IRAN","0","2","1","0","3","4","4","0","8","11"
"IRAQ","IRAQ","0","1","0","0","1","0","0","0","0","1"
"ISRAEL","ISRA","0","22","0","0","22","5","9","1","15","37"
"ITALY","IT","0","33","2","0","35","13","0","2","15","50"
"JAPAN","JPN","0","200","62","66","328","65","66","255","386","714"
"KAZAKHSTAN","KAZ","0","8","0","0","8","0","0","0","0","8"
"LAOS","LAOS","0","1","0","0","1","0","0","0","0","1"
"LITHUANIA","LTU","0","7","0","0","7","2","0","0","2","9"
"LUXEMBOURG","LUXE","0","5","0","0","5","1","0","0","1","6"
"MALAYSIA","MALA","0","7","0","0","7","0","0","0","0","7"
"MEXICO","MEX","0","11","0","0","11","0","0","0","0","11"
"MONGOLIA","MNG","0","0","0","0","0","1","0","0","1","1"
"Morocco","MA","0","2","0","0","2","0","0","0","0","2"
"Netherlands","NETH","0","10","0","0","10","1","0","0","1","11"
"NEW ICO","NICO","0","1","0","0","1","0","0","0","0","1"
"New Zealand","NZ","0","6","0","0","6","1","0","0","1","7"
"NIGERIA","NIG","0","5","0","0","5","1","0","0","1","6"
"NORTH ATLANTIC TREATY ORGANIZATION","NATO","0","8","0","0","8","0","0","0","0","8"
"NORTH KOREA","NKOR","0","2","2","0","4","0","0","2","2","6"
"NORWAY","NOR","0","12","0","0","12","0","0","0","0","12"
"O3B NETWORKS","O3B","0","20","0","0","20","0","0","0","0","20"
"ORBITAL TELECOMMUNICATIONS SATELLITE (GLOBALSTAR)","ORB","0","58","0","8","66","1","0","5","6","72"
"PAKISTAN","PAKI","0","6","0","0","6","1","0","0","1","7"
"PEOPLES REPUBLIC OF BANGLADESH","BGD","0","1","0","0","1","1","0","0","1","2"
