Mission ID;Mission Name Short;Mission Name Full;Mission Agencies;Mission Status;Launch Date;EOL Date;Applications;Instruments;Instrument IDs;Orbit Type;Orbit Altitude;Orbit Period;Orbit Inclination;Repeat Cycle;Orbit LST;Orbit Longitude;Orbit Sense;Mission Site;Data Access Portal
377;ADM-Aeolus;Atmospheric Dynamics Mission (Earth Explorer Core Mission);ESA;Operational (nominal);22 Aug 2018;Aug 2022;Will provide wind profile measurements for global 3D wind field products used for study of atmospheric dynamics, including global transport of energy, water, aerosols, and chemicals.;ALADIN;375;Sun-synchronous;405 km;92.5 mins;97.01 deg;7;18:00;;Ascending;http://www.esa.int/export/esaLP/aeolus.html;
633;AISSat-1;Automatic Identification System Satellite-1;NOSA;Operational (extended);12-juil-10;Dec 2020;Demonstrate and extend access to AIS (Automatic Identification System) signals beyond the land-based AIS system operated by the Norwegian Coastal Administration today. Observe ship traffic in the High North.;AIS;1699;Sun-synchronous;624 km;97 mins;98.1 deg;;04:00:00;;Descending;;
714;AISSat-2;Automatic Identification System Satellite-2;NOSA;Operational (extended);08-juil-14;Dec 2020;Extend access to AIS (Automatic Identification System) signals beyond the land-based AIS system operated by the Norwegian Coastal Administration today. Observe ship traffic in the High North.;AIS;1699;Sun-synchronous;628 km;97 mins;98.4 deg;;05:30:00;;Descending;;
932;Aist-2T N1;Environmental Satellite Aist-2T N1;ROSKOSMOS;Approved;Dec 2023;Dec 2028;Earth resources, environmental and disaster monitoring, cartography.;;;Sun-synchronous;;;;;;;TBD;;
933;Aist-2T N2;Environmental Satellite Aist-2T N2;ROSKOSMOS;Approved;Dec 2023;Dec 2028;Earth resources, environmental and disaster monitoring, cartography.;;;Sun-synchronous;;;;;;;TBD;;
629;ALOS-2;Advanced Land Observing Satellite-2;JAXA;Operational (extended);24 May 2014;May 2024;Environmental monitoring, disaster monitoring, civil planning, agriculture and forestry, Earth resources, land surface and ocean monitoring.;CIRC, PALSAR-2 (ALOS-2);1666, 1589;Sun-synchronous;628 km;97 mins;97.9 deg;14;12:00;;Descending;https://global.jaxa.jp/projects/sat/alos2/index.html;
630;ALOS-3;Advanced Land Observing Satellite-3;JAXA;Approved;mars-22;mars-29;Disaster monitoring, coastal and land environmental monitoring, the maintenance and updates of precise geospatial information. Mission instruments will be Optical Sensors (Pan, Multi).;;;Sun-synchronous;669 km;98 mins;98.1 deg;35;10:30;;Descending;http://global.jaxa.jp/projects/sat/alos3/;
861;ALOS-4;Advanced Land Observing Satellite-4;JAXA;Approved;mars-23;mars-30;Environmental monitoring, disaster monitoring, civil planning, agriculture and forestry, Earth resources, land surface.;ALOS-4 SAR (L-band);1803;Sun-synchronous;628 km;97 mins;97.9 deg;14;12:00;;Descending;http://global.jaxa.jp/projects/sat/alos4/;
602;AMAZONIA-1;Amazonia 1;INPE;Commissioning;28 Feb 2021;Feb 2025;Earth resources, environmental monitoring, land surface.;WFI-2 (Amazonia-1);1698;Sun-synchronous;752 km;99.9 mins;98.4 deg;26;10:30;;Descending;http://www.inpe.br/amazonia-1;http://www2.dgi.inpe.br/catalogo/explore
206;Aqua;Aqua (formerly EOS PM-1);NASA, JAXA, INPE;Operational (extended);04 May 2002;sept-23;6-year nominal mission life, currently in extended operations. Atmospheric dynamics / water and energy cycles, cloud formation, precipitation and radiative properties, air / sea fluxes of energy and moisture, sea ice extent and heat exchange with the atmosphere. The HSB instrument failed on the 5th of February 2003.;AIRS, AMSR-E, AMSU-A, CERES, HSB, MODIS;347, 664, 1555, 397, 442, 395;Sun-synchronous;705 km;98.8 mins;98.2 deg;16;13:30;;Ascending;https://eospso.nasa.gov/missions/aqua;https://search.earthdata.nasa.gov/search?q=AQUA&ok=AQUA
713;Arctica-M N1;Hydro-meteorological Satellite Arctica-M N1;ROSKOSMOS, ROSHYDROMET;Commissioning;28 Feb 2021;Feb 2031;Meteorology, oceanography, including ice cover monitoring, enviromental climate and disaster monitoring in the Arctic region.;GGAK-VE, MSU-GS/VE;1685, 1691;Highly elliptical;;720 mins;63.4 deg;1;;;Ascending;https://www.laspace.ru/projects/information-systems/arctica-m/;
751;Arctica-M N2;Hydro-meteorological Satellite Arctica-M N2;ROSKOSMOS, ROSHYDROMET;Approved;Dec 2023;Dec 2033;Meteorology, oceanography, including ice cover monitoring, enviromental climate and disaster monitoring in the Arctic region.;GGAK-VE, MSU-GS/VE;1685, 1691;Highly elliptical;;720 mins;63.4 deg;1;;;Ascending;https://www.laspace.ru/projects/information-systems/arctica-m/;
863;ATMSAT-1;Atmospheric Satellite-1;ISRO;Considered;2022;2025;provide atmosphere temperature and humidity profiles data and enhance global day and night weather forecasting.;MATHS;1807;Sun-synchronous;720 km;;98 deg;;06:00;;Descending;;
207;Aura;Aura (formerly EOS Chemistry);NASA, NSO, FMI, NIVR, UKSA;Operational (extended);15-juil-04;sept-23;6-year nominal mission life, currently in extended operations. Measurements of aerosol and cloud properties for climate predictions, using a 3-channel lidar and passive instruments in formation with CloudSat for coincident observations of radiative fluxes and atmospheric state.;HiRDLS, MLS (EOS-Aura), OMI, TES;351, 126, 630, 349;Sun-synchronous;705 km;98.8 mins;98.2 deg;16;13:38;;Ascending;http://aura.gsfc.nasa.gov/;https://search.earthdata.nasa.gov/search?q=AURA
